Rank,Word,Happiness_Score,Standard_Deviation
5161,10am,5.42,1.16
3287,10pm,5.82,1.22
6471,10th,5.14,1.41
4856,11am,5.48,1.11
7317,11th,4.96,0.9
6750,12th,5.08,0.75
8343,13th,4.66,1.69
6387,14th,5.16,0.74
7231,16th,4.98,0.87
6848,17th,5.06,1.04
6099,18th,5.22,1.31
4070,1950's,5.64,1.45
2474,1960s,6.04,1.75
3786,1960's,5.7,1.39
2409,1970s,6.06,1.45
2908,1970's,5.92,1.65
1471,1980s,6.4,1.9
2536,1980's,6.02,1.74
2590,1990's,6,1.58
6849,19th,5.06,0.82
6559,1-bath,5.12,1.42
449,1st,7.14,1.7
6645,20th,5.1,1.04
3963,21st,5.66,1.24
5827,2-bath,5.28,1.63
2667,2-car,5.98,1.42
4071,2day,5.64,1.26
3117,2morrow,5.86,1.31
7663,2nd,4.88,1.55
5066,2nite,5.44,1.79
6472,2pm,5.14,0.88
8740,3am,4.38,1.23
2009,3-bedroom,6.2,1.26
2826,3d,5.94,1.61
3704,3g,5.72,1.14
7318,3rd,4.96,1.19
8190,43d,4.72,1.16
8880,4am,4.24,1.55
912,4-bedroom,6.72,1.5
6646,4th,5.1,1.18
7232,57th,4.98,0.87
9004,5am,4.12,1.9
3787,5pm,5.7,1.15
7233,5th,4.98,1.22
8584,6am,4.52,1.67
3356,6pm,5.8,1.25
7037,6th,5.02,0.84
8449,76th,4.6,1.09
3288,7-9pm,5.82,1.44
3625,7pm,5.74,1.37
6938,7th,5.04,0.86
2064,80s,6.18,1.71
1533,80's,6.38,1.71
6388,81st,5.16,1.27
3964,8pm,5.66,1.29
6939,8th,5.04,0.75
3705,9pm,5.72,0.97
6560,9th,5.12,0.98
6018,a,5.24,0.92
6473,a1,5.14,1.64
8191,a3,4.72,1.13
1397,aaah,6.44,1.69
2288,aah,6.1,1.58
8488,aan,4.58,1.34
8295,ab,4.68,1.36
,abandon,2.54,1.37
9981,abandoned,2.54,1.37
,abandoning,2.54,1.37
6019,abc,5.24,1
7400,aber,4.94,0.89
973,ability,6.68,1
1175,able,6.56,1.25
9332,abnormal,3.69,1.67
,abnormality,3.69,1.67
1882,aboard,6.24,1.38
,aborted,2.6,1.53
,aborting,2.6,1.53
9945,abortion,2.6,1.53
,aborts,2.6,1.53
6389,about,5.16,1.17
2754,above,5.96,0.9
5628,abraham,5.32,1.5
621,abroad,6.96,1.23
9400,absence,3.58,1.07
9179,absent,3.9,1.27
5269,absolute,5.4,1.62
1737,absolutely,6.3,1.42
,absorb,5.66,1.48
3965,absorbed,5.66,1.48
,absorbing,5.66,1.48
3275,absorption,5.84,1.36
