chapterno,score,words
1,5.214230769230769,"[('dead', 2.0), ('worst', 2.1), ('suffering', 2.22), ('sad', 2.38), ('blind', 2.58)]"
2,5.599367088607594,"[('chocolate', 7.86), ('loved', 7.96), ('smiled', 8.08), ('smile', 8.1), ('laughingly', 8.2)]"
3,4.835416666666666,"[('punish', 2.0), ('hates', 2.06), ('pain', 2.1), ('drowned', 2.16), ('suffering', 2.22)]"
4,5.857516339869283,"[('won', 8.1), ('excellent', 8.18), ('laughing', 8.2), ('laughed', 8.26), ('love', 8.42)]"
5,6.213275862068966,"[('friendship', 7.96), ('loved', 7.96), ('rich', 7.98), ('exceptional', 8.18), ('love', 8.42)]"
6,4.709714285714284,"[('death', 1.54), ('suffering', 2.22), ('accused', 2.92), ('argue', 3.0), ('argument', 3.14)]"
7,5.4997727272727275,"[('money', 7.3), ('comfort', 7.5), ('accomplish', 7.58), ('great', 7.88), ('freedom', 7.9)]"
8,5.8743243243243235,"[('friends', 7.92), ('smiled', 8.08), ('smile', 8.1), ('laughing', 8.2), ('happy', 8.3)]"
9,5.429512195121952,"[('pleasures', 8.08), ('smiled', 8.08), ('smile', 8.1), ('happy', 8.3), ('happiness', 8.44)]"
10,5.509078947368423,"[('great', 7.88), ('loving', 7.96), ('smiled', 8.08), ('laughed', 8.26), ('love', 8.42)]"
11,5.8400000000000025,"[('success', 7.86), ('great', 7.88), ('freedom', 7.9), ('smiled', 8.08), ('love', 8.42)]"
12,5.736363636363635,"[('friendship', 7.96), ('free', 7.96), ('loved', 7.96), ('joy', 8.16), ('love', 8.42)]"
13,5.58675,"[('smile', 8.1), ('successful', 8.16), ('laughed', 8.26), ('happy', 8.3), ('love', 8.42)]"
14,5.326250000000001,"[('terror', 1.76), ('sick', 2.02), ('crying', 2.04), ('poor', 2.32), ('tears', 2.46)]"
15,6.41,"[('delicious', 7.92), ('loves', 7.96), ('loving', 7.96), ('pleasure', 8.08), ('love', 8.42)]"
16,6.256315789473685,"[('loved', 7.96), ('smiled', 8.08), ('laughing', 8.2), ('happy', 8.3), ('love', 8.42)]"
17,5.918837209302327,"[('delighted', 7.78), ('kissed', 7.84), ('splendid', 7.86), ('smiled', 8.08), ('smile', 8.1)]"
18,5.214601769911509,"[('kill', 1.56), ('torture', 1.58), ('tortured', 1.82), ('worst', 2.1), ('sorrow', 2.12)]"
19,6.3628750000000025,"[('smiled', 8.08), ('smile', 8.1), ('laughing', 8.2), ('happy', 8.3), ('love', 8.42)]"
20,5.813529411764706,"[('pleasure', 8.08), ('smile', 8.1), ('joyful', 8.16), ('exceptional', 8.18), ('happy', 8.3)]"
21,5.928133333333335,"[('free', 7.96), ('music', 8.02), ('smiled', 8.08), ('smile', 8.1), ('happy', 8.3)]"
22,5.617078651685394,"[('smiled', 8.08), ('smile', 8.1), ('rainbow', 8.1), ('successful', 8.16), ('happiness', 8.44)]"
23,4.781182795698925,"[('worst', 2.1), ('hurt', 2.18), ('horrible', 2.24), ('devil', 2.24), ('poor', 2.32)]"
24,5.138405797101449,"[('slaves', 2.06), ('painfully', 2.12), ('cried', 2.2), ('lying', 2.58), ('scared', 2.58)]"
25,5.230175438596491,"[('tortured', 1.82), ('fail', 1.96), ('poverty', 1.98), ('ill', 2.42), ('upsetting', 2.56)]"
26,6.239545454545456,"[('delight', 7.78), ('great', 7.88), ('joyful', 8.16), ('love', 8.42), ('happiness', 8.44)]"
27,5.5094736842105245,"[('enjoyed', 8.02), ('pleasure', 8.08), ('smile', 8.1), ('happy', 8.3), ('love', 8.42)]"
28,4.723703703703704,"[('sick', 2.02), ('slavish', 2.06), ('injured', 2.22), ('beating', 2.56), ('lying', 2.58)]"
29,4.518510638297873,"[('painfully', 2.12), ('cried', 2.2), ('angry', 2.32), ('afraid', 2.66), ('dislike', 2.88)]"
30,5.5915151515151535,"[('smile', 8.1), ('joy', 8.16), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
31,5.585121951219512,"[('enjoy', 7.66), ('friend', 7.66), ('loving', 7.96), ('pleasure', 8.08), ('joy', 8.16)]"
32,5.730892857142856,"[('family', 7.72), ('kissed', 7.84), ('great', 7.88), ('smile', 8.1), ('love', 8.42)]"
33,5.316202531645569,"[('death', 1.54), ('sick', 2.02), ('slave', 2.06), ('worst', 2.1), ('cried', 2.2)]"
34,5.652298850574716,"[('gold', 7.56), ('mother', 7.68), ('family', 7.72), ('celebrated', 7.8), ('exceptionally', 8.18)]"
35,4.892470588235292,"[('tortured', 1.82), ('cry', 1.84), ('dead', 2.0), ('sick', 2.02), ('hurts', 2.14)]"
36,5.1659999999999995,"[('cruelty', 1.84), ('dying', 2.1), ('anger', 2.3), ('angry', 2.32), ('poor', 2.32)]"
37,5.921818181818183,"[('pleasure', 8.08), ('smile', 8.1), ('joy', 8.16), ('successful', 8.16), ('laughing', 8.2)]"
38,5.633750000000004,"[('great', 7.88), ('laughing', 8.2), ('laugh', 8.22), ('happy', 8.3), ('love', 8.42)]"
39,5.699909909909913,"[('funny', 7.92), ('smile', 8.1), ('exceptionally', 8.18), ('happy', 8.3), ('love', 8.42)]"
40,5.562323232323235,"[('smile', 8.1), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44), ('happiest', 8.6)]"
41,4.739843749999999,"[('abuse', 1.88), ('worst', 2.1), ('unhappiness', 2.12), ('dangerous', 2.44), ('lying', 2.58)]"
42,4.865373134328357,"[('died', 1.56), ('pain', 2.1), ('crime', 2.2), ('uselessness', 2.52), ('useless', 2.52)]"
43,5.699090909090909,"[('special', 7.2), ('like', 7.22), ('life', 7.32), ('hope', 7.38), ('great', 7.88)]"
44,4.370000000000001,"[('murderer', 1.48), ('robbed', 2.18), ('shame', 2.68), ('infected', 2.84), ('impossible', 2.9)]"
45,5.501410256410259,"[('sky', 7.76), ('sun', 7.8), ('peace', 7.86), ('beautiful', 7.92), ('free', 7.96)]"
46,5.382134831460676,"[('splendid', 7.86), ('great', 7.88), ('sunshine', 7.94), ('happy', 8.3), ('happier', 8.45)]"
47,6.015612244897959,"[('kissing', 7.94), ('smile', 8.1), ('joy', 8.16), ('happy', 8.3), ('happiest', 8.6)]"
48,4.917714285714285,"[('cry', 1.84), ('dead', 2.0), ('cried', 2.2), ('shot', 2.5), ('shooting', 2.52)]"
49,5.142839506172841,"[('cruel', 1.84), ('illness', 2.0), ('crying', 2.04), ('suffer', 2.08), ('suffering', 2.22)]"
50,5.137311827956991,"[('impoverishing', 1.98), ('rejection', 2.02), ('painful', 2.12), ('fraud', 2.3), ('anger', 2.3)]"
51,6.119183673469387,"[('pleased', 7.4), ('fond', 7.53), ('brilliant', 7.68), ('great', 7.88), ('love', 8.42)]"
52,5.418870967741935,"[('great', 7.88), ('rich', 7.98), ('win', 8.12), ('exceptional', 8.18), ('happiness', 8.44)]"
53,5.022499999999999,"[('funeral', 2.1), ('cried', 2.2), ('sad', 2.38), ('lying', 2.58), ('nasty', 2.62)]"
54,5.273378378378378,"[('torture', 1.58), ('unhappy', 2.12), ('angry', 2.32), ('threatening', 2.36), ('upset', 2.56)]"
55,4.760999999999997,"[('torturing', 1.58), ('torture', 1.58), ('slavish', 2.06), ('arrest', 2.42), ('ill', 2.42)]"
56,4.767843137254902,"[('terror', 1.76), ('criminal', 1.98), ('worried', 2.42), ('abandoned', 2.54), ('ruined', 2.54)]"
57,5.429438202247194,"[('friends', 7.92), ('winning', 8.04), ('pleasure', 8.08), ('smiled', 8.08), ('smile', 8.1)]"
