chapterno,score,words
1,4.803976945244961,"[('death', 1.54), ('failed', 1.84), ('abuse', 1.88), ('evil', 1.9), ('poverty', 1.98)]"
2,5.422333333333337,"[('love', 8.42), ('happiness', 8.44), ('happier', 8.45), ('laughter', 8.5), ('happiest', 8.6)]"
3,5.620980392156873,"[('friends', 7.92), ('loves', 7.96), ('rich', 7.98), ('smile', 8.1), ('exceptionally', 8.18)]"
4,4.80831050228311,"[('died', 1.56), ('kill', 1.56), ('torturing', 1.58), ('cry', 1.84), ('dead', 2.0)]"
5,4.939000000000001,"[('rich', 7.98), ('smile', 8.1), ('exceptional', 8.18), ('laughing', 8.2), ('laughed', 8.26)]"
6,4.093509615384615,"[('murderer', 1.48), ('died', 1.56), ('terror', 1.76), ('murdered', 1.8), ('cry', 1.84)]"
7,4.565880503144654,"[('murderer', 1.48), ('died', 1.56), ('killed', 1.56), ('terror', 1.76), ('abuse', 1.88)]"
8,4.392195121951222,"[('terror', 1.76), ('tortured', 1.82), ('sick', 2.02), ('crying', 2.04), ('violent', 2.06)]"
9,4.853387096774191,"[('death', 1.54), ('punish', 2.0), ('illness', 2.0), ('sick', 2.02), ('slavish', 2.06)]"
10,4.295753424657537,"[('murder', 1.48), ('murderer', 1.48), ('killed', 1.56), ('arrested', 1.64), ('terror', 1.76)]"
11,4.872391304347827,"[('great', 7.88), ('rich', 7.98), ('smiled', 8.08), ('excellent', 8.18), ('love', 8.42)]"
12,4.767831715210358,"[('murder', 1.48), ('murderer', 1.48), ('death', 1.54), ('torturing', 1.58), ('torture', 1.58)]"
13,4.783481675392671,"[('death', 1.54), ('died', 1.56), ('killed', 1.56), ('die', 1.74), ('cry', 1.84)]"
14,5.244823529411765,"[('smile', 8.1), ('joy', 8.16), ('laughed', 8.26), ('love', 8.42), ('laughter', 8.5)]"
15,5.042261904761908,"[('jokes', 7.98), ('exceptional', 8.18), ('laughing', 8.2), ('happy', 8.3), ('love', 8.42)]"
16,5.387327935222672,"[('laughing', 8.2), ('laughed', 8.26), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
17,5.015089820359284,"[('great', 7.88), ('fun', 7.96), ('laughing', 8.2), ('laughed', 8.26), ('happy', 8.3)]"
18,4.723393939393943,"[('murder', 1.48), ('death', 1.54), ('kill', 1.56), ('torturing', 1.58), ('sadness', 1.88)]"
19,4.426206896551726,"[('murder', 1.48), ('kill', 1.56), ('killed', 1.56), ('died', 1.56), ('torture', 1.58)]"
20,5.06729083665339,"[('friends', 7.92), ('laughing', 8.2), ('laugh', 8.22), ('love', 8.42), ('happiness', 8.44)]"
21,4.9012385321100975,"[('pleasures', 8.08), ('excellent', 8.18), ('laugh', 8.22), ('love', 8.42), ('happiness', 8.44)]"
22,5.20267515923567,"[('kissing', 7.94), ('loved', 7.96), ('smiled', 8.08), ('joy', 8.16), ('love', 8.42)]"
23,4.801148036253774,"[('murderer', 1.48), ('killed', 1.56), ('torture', 1.58), ('torturing', 1.58), ('die', 1.74)]"
24,4.638296703296713,"[('murder', 1.48), ('murderers', 1.48), ('arrested', 1.64), ('murdered', 1.8), ('fatal', 1.8)]"
25,4.276326530612246,"[('kill', 1.56), ('torturing', 1.58), ('arrested', 1.64), ('evil', 1.9), ('fail', 1.96)]"
26,5.452662889518416,"[('laugh', 8.22), ('laughed', 8.26), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
27,5.180758122743683,"[('joy', 8.16), ('laugh', 8.22), ('laughed', 8.26), ('happy', 8.3), ('laughter', 8.5)]"
28,4.70213286713287,"[('died', 1.56), ('terror', 1.76), ('cry', 1.84), ('destitute', 1.98), ('criminal', 1.98)]"
29,4.173437500000001,"[('murder', 1.48), ('murderer', 1.48), ('killed', 1.56), ('kill', 1.56), ('torture', 1.58)]"
30,4.813358778625957,"[('death', 1.54), ('died', 1.56), ('die', 1.74), ('terror', 1.76), ('abused', 1.83)]"
31,4.9286046511627895,"[('sunlight', 7.88), ('free', 7.96), ('enjoyed', 8.02), ('laughing', 8.2), ('love', 8.42)]"
32,4.901544117647062,"[('smiled', 8.08), ('smile', 8.1), ('laughs', 8.18), ('laugh', 8.22), ('laughed', 8.26)]"
33,5.148666666666669,"[('friends', 7.92), ('rich', 7.98), ('smiled', 8.08), ('smile', 8.1), ('laughed', 8.26)]"
34,5.172840909090909,"[('smiled', 8.08), ('pleasure', 8.08), ('laughed', 8.26), ('love', 8.42), ('laughter', 8.5)]"
35,4.6728014184397155,"[('murder', 1.48), ('murderer', 1.48), ('killed', 1.56), ('kill', 1.56), ('killing', 1.7)]"
36,5.142592592592592,"[('rich', 7.98), ('pleasure', 8.08), ('smiled', 8.08), ('smile', 8.1), ('successful', 8.16)]"
