chapterno,score,words
1,6.215267175572516,"[('victory', 7.98), ('pleasure', 8.08), ('love', 8.42), ('happiness', 8.44), ('happier', 8.45)]"
2,5.559731543624159,"[('loved', 7.96), ('smiled', 8.08), ('smile', 8.1), ('happy', 8.3), ('happiness', 8.44)]"
3,5.632,"[('free', 7.96), ('pleasures', 8.08), ('excellent', 8.18), ('happy', 8.3), ('happier', 8.45)]"
4,5.192594936708862,"[('fatal', 1.8), ('sickness', 1.84), ('dead', 2.0), ('sick', 2.02), ('cried', 2.2)]"
5,5.672180094786734,"[('excellent', 8.18), ('laughing', 8.2), ('happy', 8.3), ('love', 8.42), ('happier', 8.45)]"
6,4.747866108786611,"[('murderer', 1.48), ('murder', 1.48), ('death', 1.54), ('carnage', 1.7), ('die', 1.74)]"
7,4.517301587301589,"[('murder', 1.48), ('murderer', 1.48), ('death', 1.54), ('died', 1.56), ('tortures', 1.58)]"
8,4.905151515151513,"[('murderer', 1.48), ('death', 1.54), ('tortures', 1.58), ('torture', 1.58), ('deaths', 1.64)]"
9,4.5331746031746025,"[('murderer', 1.48), ('kill', 1.56), ('tortures', 1.58), ('evil', 1.9), ('poison', 1.94)]"
10,5.693584905660378,"[('smiled', 8.08), ('won', 8.1), ('joy', 8.16), ('excellent', 8.18), ('happy', 8.3)]"
11,6.352389380530975,"[('win', 8.12), ('excellent', 8.18), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
12,6.09132450331126,"[('music', 8.02), ('pleasure', 8.08), ('joy', 8.16), ('happy', 8.3), ('love', 8.42)]"
13,5.804318181818183,"[('sun', 7.8), ('friends', 7.92), ('free', 7.96), ('enjoyed', 8.02), ('won', 8.1)]"
14,5.6337864077669915,"[('pleasure', 8.08), ('excellent', 8.18), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
15,4.875406504065042,"[('murder', 1.48), ('death', 1.54), ('terror', 1.76), ('war', 1.8), ('punish', 2.0)]"
16,4.764843750000003,"[('murder', 1.48), ('died', 1.56), ('torture', 1.58), ('evil', 1.9), ('sickened', 2.02)]"
17,5.7200985221674845,"[('smile', 8.1), ('joyful', 8.16), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
18,5.345753424657534,"[('enjoyed', 8.02), ('pleasures', 8.08), ('pleasure', 8.08), ('excellent', 8.18), ('laugh', 8.22)]"
19,4.9155102040816345,"[('murder', 1.48), ('murderer', 1.48), ('death', 1.54), ('died', 1.56), ('tortures', 1.58)]"
20,4.8167557251908395,"[('murder', 1.48), ('murderer', 1.48), ('death', 1.54), ('died', 1.56), ('murdered', 1.8)]"
21,5.357383512544806,"[('smile', 8.1), ('joy', 8.16), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
