chapterno,score,words
1,5.281153846153846,"[('family', 7.72), ('delight', 7.78), ('great', 7.88), ('beautiful', 7.92), ('loved', 7.96)]"
2,5.395121951219511,"[('profit', 7.66), ('family', 7.72), ('blessed', 7.78), ('great', 7.88), ('laughing', 8.2)]"
3,4.4892655367231615,"[('death', 1.54), ('arrested', 1.64), ('fatal', 1.8), ('criminal', 1.98), ('dead', 2.0)]"
4,6.080869565217391,"[('festival', 7.7), ('blessed', 7.78), ('beautiful', 7.92), ('smiled', 8.08), ('excellent', 8.18)]"
5,5.302696629213482,"[('succeeded', 7.62), ('splendidly', 7.86), ('flowered', 7.88), ('beautiful', 7.92), ('loved', 7.96)]"
6,4.664666666666666,"[('kill', 1.56), ('terror', 1.76), ('destruction', 2.26), ('poor', 2.32), ('fear', 2.32)]"
7,5.76885416666667,"[('joy', 8.16), ('excellent', 8.18), ('laugh', 8.22), ('laughed', 8.26), ('happiness', 8.44)]"
8,5.4146511627907,"[('genius', 7.6), ('friend', 7.66), ('family', 7.72), ('great', 7.88), ('loves', 7.96)]"
9,4.703552631578948,"[('death', 1.54), ('kill', 1.56), ('torture', 1.58), ('die', 1.74), ('fatal', 1.8)]"
10,5.380379746835443,"[('great', 7.88), ('beautiful', 7.92), ('loved', 7.96), ('happy', 8.3), ('love', 8.42)]"
11,5.830192307692309,"[('success', 7.86), ('great', 7.88), ('rich', 7.98), ('win', 8.12), ('happy', 8.3)]"
12,6.023098591549296,"[('angel', 7.68), ('beauties', 7.76), ('loved', 7.96), ('celebration', 8.02), ('joy', 8.16)]"
13,5.299206349206347,"[('geniuses', 7.6), ('splendid', 7.86), ('great', 7.88), ('loves', 7.96), ('love', 8.42)]"
14,5.06635294117647,"[('mother', 7.68), ('sky', 7.76), ('sun', 7.8), ('excellent', 8.18), ('laughter', 8.5)]"
15,5.355937500000001,"[('pleasing', 7.4), ('gold', 7.56), ('sweet', 7.64), ('great', 7.88), ('love', 8.42)]"
16,5.34974025974026,"[('thank', 7.4), ('earn', 7.5), ('bright', 7.62), ('heaven', 7.86), ('joy', 8.16)]"
17,5.916944444444447,"[('mother', 7.68), ('family', 7.72), ('kissed', 7.84), ('great', 7.88), ('happy', 8.3)]"
18,5.745357142857143,"[('god', 7.28), ('inspired', 7.36), ('nice', 7.38), ('profit', 7.66), ('laugh', 8.22)]"
19,4.5012173913043485,"[('assassin', 1.48), ('died', 1.56), ('killed', 1.56), ('quake', 1.9), ('disaster', 1.96)]"
20,4.12588888888889,"[('torture', 1.58), ('arrested', 1.64), ('die', 1.74), ('fatal', 1.8), ('war', 1.8)]"
21,4.065641025641026,"[('death', 1.54), ('tortured', 1.82), ('drowning', 2.44), ('attacks', 2.46), ('losses', 2.46)]"
22,5.682307692307692,"[('liberty', 7.24), ('liberation', 7.35), ('sundays', 7.38), ('festival', 7.7), ('free', 7.96)]"
23,4.904791666666666,"[('robbed', 2.18), ('stroke', 2.58), ('losing', 2.62), ('difficult', 3.18), ('convict', 3.2)]"
24,5.108292682926831,"[('moonlight', 7.5), ('kiss', 7.64), ('fantastic', 7.78), ('heaven', 7.86), ('peace', 7.86)]"
25,4.951904761904761,"[('violent', 2.06), ('poor', 2.32), ('stolen', 2.5), ('grave', 2.56), ('broken', 3.02)]"
26,4.6605421686747,"[('died', 1.56), ('cry', 1.84), ('evil', 1.9), ('prison', 2.06), ('violent', 2.06)]"
27,5.017011494252874,"[('friends', 7.92), ('won', 8.1), ('laugh', 8.22), ('laughed', 8.26), ('happiness', 8.44)]"
28,5.605824175824176,"[('loves', 7.96), ('pleasure', 8.08), ('won', 8.1), ('laughed', 8.26), ('love', 8.42)]"
29,6.408636363636367,"[('great', 7.88), ('vacation', 7.92), ('beautiful', 7.92), ('joy', 8.16), ('love', 8.42)]"
30,6.337083333333333,"[('butterflies', 7.92), ('beautiful', 7.92), ('laugh', 8.22), ('happy', 8.3), ('love', 8.42)]"
31,5.983269230769229,"[('sunlight', 7.88), ('sunshine', 7.94), ('free', 7.96), ('happy', 8.3), ('laughter', 8.5)]"
32,0.0,[]
33,6.192000000000002,"[('bed', 7.18), ('mother', 7.68), ('peace', 7.86), ('smiled', 8.08), ('love', 8.42)]"
34,5.657214285714288,"[('beautiful', 7.92), ('loved', 7.96), ('joy', 8.16), ('happy', 8.3), ('love', 8.42)]"
35,5.089411764705881,"[('energy', 7.22), ('thanks', 7.4), ('surprise', 7.42), ('merry', 7.56), ('kiss', 7.64)]"
36,5.889361702127657,"[('dinner', 7.4), ('merry', 7.56), ('delighted', 7.78), ('laughed', 8.26), ('love', 8.42)]"
37,6.015028571428571,"[('great', 7.88), ('beautiful', 7.92), ('smile', 8.1), ('happiness', 8.44), ('laughter', 8.5)]"
38,5.3108571428571425,"[('romance', 7.5), ('romantically', 7.72), ('romantic', 7.72), ('great', 7.88), ('loving', 7.96)]"
39,5.475797101449277,"[('mother', 7.68), ('great', 7.88), ('beautiful', 7.92), ('loved', 7.96), ('love', 8.42)]"
40,5.812,"[('special', 7.2), ('progress', 7.26), ('fortune', 7.3), ('inspired', 7.36), ('mother', 7.68)]"
41,6.0104545454545475,"[('profited', 7.66), ('delight', 7.78), ('free', 7.96), ('healthy', 8.02), ('joy', 8.16)]"
42,5.396375000000001,"[('rich', 7.98), ('smiled', 8.08), ('pleasure', 8.08), ('excellent', 8.18), ('happy', 8.3)]"
43,5.384074074074074,"[('great', 7.88), ('paradise', 7.92), ('loved', 7.96), ('love', 8.42), ('happiness', 8.44)]"
44,4.921578947368421,"[('killed', 1.56), ('arrested', 1.64), ('epidemic', 1.72), ('terror', 1.76), ('failed', 1.84)]"
45,4.426909090909089,"[('kill', 1.56), ('bankruptcy', 2.06), ('cried', 2.2), ('poor', 2.32), ('enemies', 2.44)]"
46,5.846666666666668,"[('like', 7.22), ('prosperity', 7.3), ('money', 7.3), ('great', 7.88), ('rich', 7.98)]"
47,5.3088,"[('great', 7.88), ('beautiful', 7.92), ('pleasure', 8.08), ('joyful', 8.16), ('joy', 8.16)]"
48,5.231632653061224,"[('great', 7.88), ('beautiful', 7.92), ('congratulated', 8.0), ('happy', 8.3), ('happiness', 8.44)]"
49,4.675368421052632,"[('die', 1.74), ('pain', 2.1), ('hated', 2.14), ('cried', 2.2), ('poor', 2.32)]"
50,3.635,"[('death', 1.54), ('slavery', 2.02), ('suffered', 2.24), ('error', 2.6), ('misery', 2.68)]"
51,4.596176470588236,"[('died', 1.56), ('ugly', 2.74), ('burying', 2.93), ('quarrel', 3.0), ('condemned', 3.0)]"
52,4.723617021276595,"[('arrested', 1.64), ('failed', 1.84), ('criminal', 1.98), ('punish', 2.0), ('prison', 2.06)]"
53,5.4228,"[('mother', 7.68), ('smiled', 8.08), ('smile', 8.1), ('happy', 8.3), ('happiness', 8.44)]"
54,4.573493150684931,"[('died', 1.56), ('arrested', 1.64), ('jail', 1.76), ('failed', 1.84), ('cry', 1.84)]"
55,4.907636363636365,"[('death', 1.54), ('unhappy', 2.12), ('agony', 2.16), ('fear', 2.32), ('satan', 2.56)]"
56,5.151851851851852,"[('gentle', 7.24), ('eating', 7.3), ('rose', 7.32), ('food', 7.44), ('accomplish', 7.58)]"
57,4.81692307692308,"[('death', 1.54), ('die', 1.74), ('terror', 1.76), ('fatal', 1.8), ('earthquake', 1.9)]"
58,4.749811320754716,"[('dead', 2.0), ('painful', 2.12), ('cried', 2.2), ('suffering', 2.22), ('nightmare', 2.32)]"
59,4.934722222222222,"[('die', 1.74), ('fatal', 1.8), ('violent', 2.06), ('suffered', 2.24), ('theft', 2.3)]"
60,5.23,"[('free', 7.96), ('smiled', 8.08), ('joy', 8.16), ('laughed', 8.26), ('love', 8.42)]"
61,4.45509433962264,"[('arrested', 1.64), ('murdered', 1.8), ('fail', 1.96), ('criminal', 1.98), ('violent', 2.06)]"
62,4.41125,"[('unhappy', 2.12), ('painful', 2.12), ('arrest', 2.42), ('stupid', 2.68), ('terrible', 2.84)]"
63,4.136315789473685,"[('death', 1.54), ('fatal', 1.8), ('criminal', 1.98), ('violent', 2.06), ('funeral', 2.1)]"
64,4.632212389380531,"[('sickly', 2.02), ('prison', 2.06), ('crime', 2.2), ('theft', 2.3), ('poor', 2.32)]"
65,4.674999999999997,"[('arrested', 1.64), ('terror', 1.76), ('injurious', 2.04), ('unhappy', 2.12), ('robbed', 2.18)]"
66,4.5313043478260875,"[('death', 1.54), ('dead', 2.0), ('sick', 2.02), ('painful', 2.12), ('poor', 2.32)]"
67,5.415714285714287,"[('mother', 7.68), ('smiled', 8.08), ('pleasure', 8.08), ('joy', 8.16), ('happy', 8.3)]"
68,4.846785714285715,"[('evil', 1.9), ('arrest', 2.42), ('flood', 2.42), ('betrayed', 2.57), ('mad', 2.6)]"
69,4.601379310344827,"[('murdered', 1.8), ('dead', 2.0), ('unhappy', 2.12), ('cried', 2.2), ('arrest', 2.42)]"
70,4.399326923076922,"[('died', 1.56), ('arresting', 1.64), ('evil', 1.9), ('robbery', 2.08), ('funeral', 2.1)]"
71,5.2694117647058825,"[('rose', 7.32), ('flowers', 7.56), ('succeed', 7.76), ('sun', 7.8), ('beautiful', 7.92)]"
72,4.1216176470588275,"[('death', 1.54), ('massacre', 1.7), ('typhus', 1.72), ('die', 1.74), ('cry', 1.84)]"
73,4.391739130434779,"[('killed', 1.56), ('war', 1.8), ('suffering', 2.22), ('loss', 2.56), ('grave', 2.56)]"
74,5.168695652173913,"[('good', 7.2), ('star', 7.22), ('divine', 7.26), ('truth', 7.42), ('great', 7.88)]"
75,4.5272727272727264,"[('war', 1.8), ('horrible', 2.24), ('tragic', 2.34), ('attack', 2.42), ('attacked', 2.52)]"
76,4.110322580645161,"[('killed', 1.56), ('massacred', 1.7), ('dead', 2.0), ('cried', 2.2), ('lost', 2.76)]"
77,5.37569230769231,"[('smile', 8.1), ('joy', 8.16), ('laughs', 8.18), ('laughingly', 8.2), ('laughter', 8.5)]"
78,3.85475,"[('killed', 1.56), ('killing', 1.7), ('fatal', 1.8), ('wounded', 2.42), ('negative', 2.42)]"
79,4.2766666666666655,"[('suffering', 2.22), ('tragic', 2.34), ('flood', 2.42), ('ill', 2.42), ('corpses', 2.55)]"
80,3.5484523809523796,"[('died', 1.56), ('killed', 1.56), ('killing', 1.7), ('fatal', 1.8), ('disaster', 1.96)]"
81,4.759999999999999,"[('death', 1.54), ('painful', 2.12), ('fired', 2.3), ('bad', 2.64), ('burning', 2.88)]"
82,4.28972972972973,"[('killed', 1.56), ('carnage', 1.7), ('disaster', 1.96), ('dies', 2.08), ('unhappy', 2.12)]"
83,4.301777777777779,"[('assassination', 1.48), ('death', 1.54), ('kill', 1.56), ('cry', 1.84), ('dead', 2.0)]"
84,4.16125,"[('death', 1.54), ('died', 1.56), ('fatal', 1.8), ('dying', 2.1), ('corpses', 2.55)]"
85,4.709268292682927,"[('die', 1.74), ('kills', 1.78), ('violent', 2.06), ('agony', 2.16), ('rage', 2.56)]"
86,4.837171717171719,"[('death', 1.54), ('massacre', 1.7), ('carnage', 1.7), ('war', 1.8), ('fatal', 1.8)]"
87,5.454375,"[('progress', 7.26), ('triumphed', 7.46), ('great', 7.88), ('victory', 7.98), ('smiled', 8.08)]"
88,5.199767441860464,"[('splendid', 7.86), ('peace', 7.86), ('great', 7.88), ('beautiful', 7.92), ('love', 8.42)]"
89,4.5709401709401725,"[('death', 1.54), ('fatal', 1.8), ('war', 1.8), ('evil', 1.9), ('disaster', 1.96)]"
90,4.384782608695653,"[('death', 1.54), ('died', 1.56), ('fatal', 1.8), ('criminal', 1.98), ('prison', 2.06)]"
91,4.745303030303031,"[('torture', 1.58), ('evil', 1.9), ('dies', 2.08), ('devil', 2.24), ('lying', 2.58)]"
92,4.377625000000005,"[('terrorism', 1.48), ('terror', 1.76), ('war', 1.8), ('fatal', 1.8), ('cry', 1.84)]"
93,5.6112820512820525,"[('family', 7.72), ('great', 7.88), ('christmas', 7.96), ('love', 8.42), ('laughter', 8.5)]"
94,5.124927536231886,"[('succeed', 7.76), ('great', 7.88), ('loved', 7.96), ('victorious', 7.98), ('smiled', 8.08)]"
95,4.382571428571429,"[('suffered', 2.24), ('lies', 2.62), ('ugly', 2.74), ('screamed', 3.27), ('savage', 3.31)]"
96,5.729166666666667,"[('wonderful', 7.76), ('fantastic', 7.78), ('beautiful', 7.92), ('rich', 7.98), ('happy', 8.3)]"
97,4.26526785714286,"[('terror', 1.76), ('failed', 1.84), ('dead', 2.0), ('violent', 2.06), ('painful', 2.12)]"
98,5.509787234042553,"[('intelligent', 7.35), ('success', 7.86), ('great', 7.88), ('christmas', 7.96), ('smile', 8.1)]"
99,5.39032258064516,"[('hope', 7.38), ('gold', 7.56), ('romantic', 7.72), ('great', 7.88), ('beautiful', 7.92)]"
100,5.159298245614038,"[('christmas', 7.96), ('rich', 7.98), ('joy', 8.16), ('laugh', 8.22), ('happiness', 8.44)]"
101,5.576666666666669,"[('joy', 8.16), ('laugh', 8.22), ('laughed', 8.26), ('happy', 8.3), ('love', 8.42)]"
102,5.296349206349207,"[('million', 7.38), ('honest', 7.46), ('succeeded', 7.62), ('mother', 7.68), ('great', 7.88)]"
103,4.857333333333333,"[('mourning', 2.86), ('lack', 3.16), ('fell', 3.22), ('isolated', 3.46), ('no', 3.48)]"
104,4.647428571428574,"[('assassination', 1.48), ('death', 1.54), ('fatal', 1.8), ('sadness', 1.88), ('suffers', 2.08)]"
105,5.7540000000000004,"[('sun', 7.8), ('kissed', 7.84), ('joy', 8.16), ('happy', 8.3), ('happiness', 8.44)]"
106,5.836299999999998,"[('smile', 8.1), ('joy', 8.16), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
