chapterno,score,words
1,5.197136363636368,"[('friends', 7.92), ('healthy', 8.02), ('excellent', 8.18), ('laugh', 8.22), ('happy', 8.3)]"
2,5.05058394160584,"[('blessed', 7.78), ('great', 7.88), ('pleasure', 8.08), ('smiled', 8.08), ('smile', 8.1)]"
3,5.142068965517241,"[('honour', 7.7), ('family', 7.72), ('great', 7.88), ('laugh', 8.22), ('laughed', 8.26)]"
4,4.69085308056872,"[('death', 1.54), ('died', 1.56), ('dead', 2.0), ('poorest', 2.02), ('violent', 2.06)]"
5,4.656037735849058,"[('murder', 1.48), ('murderers', 1.48), ('died', 1.56), ('die', 1.74), ('fatal', 1.8)]"
6,4.606428571428576,"[('murder', 1.48), ('killed', 1.56), ('murdered', 1.8), ('violence', 1.86), ('punish', 2.0)]"
7,4.995733333333332,"[('gift', 7.72), ('sun', 7.8), ('splendid', 7.86), ('great', 7.88), ('friends', 7.92)]"
8,5.52233644859813,"[('great', 7.88), ('funny', 7.92), ('free', 7.96), ('laugh', 8.22), ('laughed', 8.26)]"
9,5.277804878048782,"[('smart', 7.48), ('gold', 7.56), ('friend', 7.66), ('great', 7.88), ('beautiful', 7.92)]"
10,4.7945901639344255,"[('died', 1.56), ('failed', 1.84), ('punish', 2.0), ('robbery', 2.08), ('unhappy', 2.12)]"
11,5.50217391304348,"[('smiled', 8.08), ('smile', 8.1), ('laughing', 8.2), ('laughed', 8.26), ('happy', 8.3)]"
12,4.6101739130434805,"[('murder', 1.48), ('evil', 1.9), ('poison', 1.94), ('criminals', 1.98), ('violent', 2.06)]"
13,5.959765258215964,"[('smilingly', 8.1), ('laugh', 8.22), ('laughed', 8.26), ('happy', 8.3), ('happiness', 8.44)]"
14,4.595390624999998,"[('kill', 1.56), ('cruel', 1.84), ('suffer', 2.08), ('cried', 2.2), ('injured', 2.22)]"
15,4.942409638554218,"[('kill', 1.56), ('jail', 1.76), ('dead', 2.0), ('sick', 2.02), ('dying', 2.1)]"
16,5.528120805369131,"[('free', 7.96), ('smile', 8.1), ('laughed', 8.26), ('love', 8.42), ('happier', 8.45)]"
17,4.963561643835618,"[('death', 1.54), ('poison', 1.94), ('punished', 2.0), ('crying', 2.04), ('destruction', 2.26)]"
18,4.773307692307693,"[('death', 1.54), ('evil', 1.9), ('worst', 2.1), ('cried', 2.2), ('devil', 2.24)]"
19,4.542635135135135,"[('murders', 1.48), ('murderers', 1.48), ('die', 1.74), ('cruel', 1.84), ('cry', 1.84)]"
20,5.0294186046511635,"[('fantastic', 7.78), ('sun', 7.8), ('great', 7.88), ('music', 8.02), ('joy', 8.16)]"
21,4.395897435897435,"[('died', 1.56), ('die', 1.74), ('tortured', 1.82), ('failed', 1.84), ('cry', 1.84)]"
22,5.017244094488187,"[('bright', 7.62), ('blessed', 7.78), ('kissed', 7.84), ('great', 7.88), ('smile', 8.1)]"
23,4.566407766990293,"[('death', 1.54), ('die', 1.74), ('cry', 1.84), ('sick', 2.02), ('violent', 2.06)]"
24,5.169708737864079,"[('win', 8.12), ('laugh', 8.22), ('laughed', 8.26), ('happy', 8.3), ('laughter', 8.5)]"
25,4.460677966101694,"[('murder', 1.48), ('cry', 1.84), ('violence', 1.86), ('destitute', 1.98), ('dead', 2.0)]"
26,5.340297029702972,"[('blessed', 7.78), ('great', 7.88), ('delicious', 7.92), ('pleasure', 8.08), ('pleasurable', 8.08)]"
27,4.51725,"[('death', 1.54), ('died', 1.56), ('die', 1.74), ('murdered', 1.8), ('cry', 1.84)]"
28,5.519861111111113,"[('great', 7.88), ('delicious', 7.92), ('smiled', 8.08), ('smile', 8.1), ('happy', 8.3)]"
29,4.990709219858157,"[('smiled', 8.08), ('laughing', 8.2), ('happy', 8.3), ('love', 8.42), ('happier', 8.45)]"
30,4.939946808510639,"[('die', 1.74), ('dead', 2.0), ('punishment', 2.0), ('violent', 2.06), ('robbed', 2.18)]"
31,5.368464912280706,"[('joy', 8.16), ('excellent', 8.18), ('happy', 8.3), ('love', 8.42), ('happier', 8.45)]"
32,5.170769230769233,"[('music', 8.02), ('pleasure', 8.08), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
33,5.676231884057973,"[('joyful', 8.16), ('laugh', 8.22), ('laughed', 8.26), ('love', 8.42), ('happiness', 8.44)]"
34,5.772698412698412,"[('win', 8.12), ('joy', 8.16), ('happy', 8.3), ('happiness', 8.44), ('laughter', 8.5)]"
35,5.538490566037734,"[('honour', 7.7), ('delighted', 7.78), ('elated', 7.78), ('great', 7.88), ('happy', 8.3)]"
36,4.857048192771083,"[('died', 1.56), ('cry', 1.84), ('fail', 1.96), ('dead', 2.0), ('punishment', 2.0)]"
37,4.585889570552148,"[('death', 1.54), ('died', 1.56), ('violence', 1.86), ('dead', 2.0), ('sickly', 2.02)]"
38,4.7627862595419845,"[('violence', 1.86), ('evil', 1.9), ('illness', 2.0), ('sick', 2.02), ('crying', 2.04)]"
39,4.875947368421055,"[('murder', 1.48), ('death', 1.54), ('die', 1.74), ('jail', 1.76), ('sickness', 1.84)]"
40,5.22578947368421,"[('excellent', 8.18), ('laughed', 8.26), ('love', 8.42), ('happiness', 8.44), ('happier', 8.45)]"
41,5.756967741935487,"[('lucky', 7.68), ('great', 7.88), ('lovingly', 7.96), ('free', 7.96), ('laughter', 8.5)]"
42,5.250700636942676,"[('great', 7.88), ('free', 7.96), ('rich', 7.98), ('laughed', 8.26), ('love', 8.42)]"
43,4.60716417910448,"[('poison', 1.94), ('violent', 2.06), ('hated', 2.14), ('crime', 2.2), ('cried', 2.2)]"
44,5.190370370370369,"[('elated', 7.78), ('success', 7.86), ('great', 7.88), ('pleasure', 8.08), ('laugh', 8.22)]"
45,4.861340782122907,"[('death', 1.54), ('cry', 1.84), ('destitute', 1.98), ('violent', 2.06), ('suffer', 2.08)]"
46,4.386290322580645,"[('murderer', 1.48), ('kill', 1.56), ('jail', 1.76), ('fatal', 1.8), ('evil', 1.9)]"
47,4.387754010695186,"[('murder', 1.48), ('murderers', 1.48), ('deaths', 1.64), ('die', 1.74), ('terror', 1.76)]"
48,4.834723618090452,"[('murderers', 1.48), ('murder', 1.48), ('death', 1.54), ('died', 1.56), ('murdered', 1.8)]"
49,4.0230612244897985,"[('murderer', 1.48), ('murders', 1.48), ('kill', 1.56), ('murdered', 1.8), ('cry', 1.84)]"
50,5.275268138801263,"[('joy', 8.16), ('laughed', 8.26), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
