chapterno,score,words
1,6.124705882352941,"[('handsome', 7.54), ('beauty', 7.76), ('delighted', 7.78), ('delight', 7.78), ('love', 8.42)]"
2,5.64310344827586,"[('sick', 2.02), ('cried', 2.2), ('neglect', 2.76), ('stress', 2.86), ('impossible', 2.9)]"
3,5.851292517006805,"[('delighted', 7.78), ('splendid', 7.86), ('great', 7.88), ('beautiful', 7.92), ('excellent', 8.18)]"
4,5.7057731958762865,"[('family', 7.72), ('beauty', 7.76), ('great', 7.88), ('smiled', 8.08), ('happy', 8.3)]"
5,5.681475409836065,"[('family', 7.72), ('elated', 7.78), ('great', 7.88), ('rich', 7.98), ('pleasure', 8.08)]"
6,5.920540540540546,"[('rich', 7.98), ('pleasure', 8.08), ('excellence', 8.18), ('love', 8.42), ('happiness', 8.44)]"
7,5.717101449275365,"[('family', 7.72), ('delighted', 7.78), ('great', 7.88), ('friends', 7.92), ('happiness', 8.44)]"
8,5.3233939393939425,"[('abusing', 1.83), ('sick', 2.02), ('cried', 2.2), ('ill', 2.42), ('conceited', 2.6)]"
9,5.957731092436972,"[('victory', 7.98), ('healthy', 8.02), ('pleasure', 8.08), ('happy', 8.3), ('love', 8.42)]"
10,5.5080141843971635,"[('pain', 2.1), ('cried', 2.2), ('cheating', 2.26), ('ill', 2.42), ('afraid', 2.66)]"
11,5.095664335664337,"[('evil', 1.9), ('punishment', 2.0), ('punish', 2.0), ('suffer', 2.08), ('dying', 2.1)]"
12,5.708148148148148,"[('affection', 7.53), ('party', 7.58), ('excited', 7.62), ('family', 7.72), ('pleasure', 8.08)]"
13,5.620630630630639,"[('cruelty', 1.84), ('destitute', 1.98), ('cried', 2.2), ('fearing', 2.32), ('poor', 2.32)]"
14,6.173670886075951,"[('accomplishments', 7.58), ('brightest', 7.62), ('honour', 7.7), ('great', 7.88), ('happy', 8.3)]"
15,5.614568965517239,"[('arrested', 1.64), ('weak', 2.84), ('impossible', 2.9), ('never', 3.34), ('against', 3.4)]"
16,5.736610169491526,"[('friendship', 7.96), ('rich', 7.98), ('pleasure', 8.08), ('excellent', 8.18), ('happy', 8.3)]"
17,5.7017307692307675,"[('friends', 7.92), ('pleasure', 8.08), ('laugh', 8.22), ('happy', 8.3), ('happiness', 8.44)]"
18,5.718549999999993,"[('pleasure', 8.08), ('won', 8.1), ('smile', 8.1), ('excellent', 8.18), ('happy', 8.3)]"
19,5.539435483870967,"[('death', 1.54), ('cruelty', 1.84), ('violence', 1.86), ('fail', 1.96), ('rejection', 2.02)]"
20,5.135037037037034,"[('rejecting', 2.08), ('suffer', 2.08), ('unhappy', 2.12), ('cried', 2.2), ('suffered', 2.24)]"
21,5.9748000000000046,"[('rich', 7.98), ('pleasure', 8.08), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
22,6.130662251655631,"[('joyful', 8.16), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44), ('happiest', 8.6)]"
23,5.4422857142857115,"[('failed', 1.84), ('painful', 2.12), ('hated', 2.14), ('agony', 2.16), ('anger', 2.3)]"
24,5.493555555555554,"[('died', 1.56), ('slave', 2.06), ('pain', 2.1), ('worst', 2.1), ('hurt', 2.18)]"
25,5.381804511278192,"[('death', 1.54), ('violent', 2.06), ('suffer', 2.08), ('pain', 2.1), ('accident', 2.32)]"
26,5.848085106382982,"[('great', 7.88), ('friends', 7.92), ('pleasure', 8.08), ('happy', 8.3), ('love', 8.42)]"
27,5.7001123595505625,"[('christmas', 7.96), ('pleasure', 8.08), ('joy', 8.16), ('love', 8.42), ('happiness', 8.44)]"
28,5.862499999999998,"[('beauty', 7.76), ('delighted', 7.78), ('great', 7.88), ('congratulate', 8.0), ('smiled', 8.08)]"
29,6.1841798941798904,"[('splendid', 7.86), ('great', 7.88), ('pleasures', 8.08), ('won', 8.1), ('happy', 8.3)]"
30,6.222619047619046,"[('family', 7.72), ('entertainment', 7.76), ('peace', 7.86), ('great', 7.88), ('excellent', 8.18)]"
31,5.443999999999999,"[('cried', 2.2), ('ill', 2.42), ('ashamed', 2.59), ('afraid', 2.66), ('neglect', 2.76)]"
32,6.103584905660377,"[('excellent', 8.18), ('laughing', 8.2), ('laughed', 8.26), ('happy', 8.3), ('love', 8.42)]"
33,5.260312499999997,"[('evil', 1.9), ('suffer', 2.08), ('worst', 2.1), ('ill', 2.42), ('tears', 2.46)]"
34,4.923511450381679,"[('cruelty', 1.84), ('poverty', 1.98), ('pain', 2.1), ('unhappy', 2.12), ('painfully', 2.12)]"
35,5.453186274509799,"[('died', 1.56), ('cruelty', 1.84), ('abuse', 1.88), ('evil', 1.9), ('violent', 2.06)]"
36,5.192076923076923,"[('worst', 2.1), ('painful', 2.12), ('hurt', 2.18), ('depressed', 2.18), ('angry', 2.32)]"
37,5.660842105263156,"[('great', 7.88), ('friends', 7.92), ('smiled', 8.08), ('laughing', 8.2), ('happy', 8.3)]"
38,6.527066666666665,"[('friend', 7.66), ('family', 7.72), ('great', 7.88), ('pleasure', 8.08), ('happiness', 8.44)]"
39,5.678543689320388,"[('fun', 7.96), ('pleasures', 8.08), ('excellent', 8.18), ('laugh', 8.22), ('laughed', 8.26)]"
40,4.937761194029852,"[('death', 1.54), ('die', 1.74), ('abusive', 1.83), ('injurious', 2.04), ('unhappiness', 2.12)]"
41,5.398175675675682,"[('death', 1.54), ('violence', 1.86), ('worst', 2.1), ('cried', 2.2), ('weep', 2.22)]"
42,6.12609022556391,"[('pleasure', 8.08), ('happy', 8.3), ('happiness', 8.44), ('happier', 8.45), ('happiest', 8.6)]"
43,5.996734693877557,"[('smile', 8.1), ('excellent', 8.18), ('laughing', 8.2), ('love', 8.42), ('happiness', 8.44)]"
44,5.370992907801421,"[('fail', 1.96), ('rejecting', 2.08), ('hatred', 2.22), ('anger', 2.3), ('fear', 2.32)]"
45,4.492314814814808,"[('pain', 2.1), ('fear', 2.32), ('angry', 2.32), ('ill', 2.42), ('betray', 2.5)]"
46,4.787033492822965,"[('unhappy', 2.12), ('sorrow', 2.12), ('cried', 2.2), ('disappointed', 2.26), ('sadly', 2.28)]"
