chapterno,score,words
1,3.8436363636363633,"[('war', 1.8), ('lost', 2.76), ('delay', 3.38), ('no', 3.48), ('without', 3.54)]"
2,5.098729281767955,"[('delight', 7.78), ('peace', 7.86), ('rich', 7.98), ('successful', 8.16), ('love', 8.42)]"
3,5.01021806853583,"[('died', 1.56), ('die', 1.74), ('war', 1.8), ('violence', 1.86), ('poison', 1.94)]"
4,4.533492063492066,"[('murder', 1.48), ('war', 1.8), ('criminal', 1.98), ('disease', 2.0), ('dies', 2.08)]"
5,5.435298013245035,"[('rich', 7.98), ('congratulate', 8.0), ('smiled', 8.08), ('successful', 8.16), ('love', 8.42)]"
6,4.831627906976745,"[('kill', 1.56), ('evil', 1.9), ('sick', 2.02), ('worst', 2.1), ('hurt', 2.18)]"
7,4.825148741418771,"[('death', 1.54), ('kill', 1.56), ('die', 1.74), ('wars', 1.9), ('fail', 1.96)]"
8,5.149500000000002,"[('beautifully', 7.92), ('free', 7.96), ('loved', 7.96), ('happy', 8.3), ('happiness', 8.44)]"
9,5.1702307692307725,"[('smile', 8.1), ('successful', 8.16), ('excellent', 8.18), ('happy', 8.3), ('love', 8.42)]"
10,4.99507204610951,"[('death', 1.54), ('kill', 1.56), ('die', 1.74), ('jail', 1.76), ('evil', 1.9)]"
11,4.535527777777781,"[('death', 1.54), ('kill', 1.56), ('failed', 1.84), ('evil', 1.9), ('disaster', 1.96)]"
12,4.734379562043798,"[('murder', 1.48), ('killed', 1.56), ('kill', 1.56), ('killing', 1.7), ('die', 1.74)]"
13,5.147790973871737,"[('laughing', 8.2), ('laugh', 8.22), ('happy', 8.3), ('happiness', 8.44), ('happiest', 8.6)]"
14,4.853741935483874,"[('failed', 1.84), ('failure', 2.06), ('suffer', 2.08), ('sobbing', 2.22), ('anger', 2.3)]"
15,4.471584158415842,"[('failed', 1.84), ('failure', 2.06), ('rejected', 2.08), ('painfully', 2.12), ('devil', 2.24)]"
16,4.9963132530120555,"[('death', 1.54), ('failed', 1.84), ('cry', 1.84), ('evil', 1.9), ('fail', 1.96)]"
17,4.844034090909096,"[('assassination', 1.48), ('death', 1.54), ('killed', 1.56), ('deaths', 1.64), ('depressingly', 1.9)]"
18,5.240160771704188,"[('music', 8.02), ('smiled', 8.08), ('pleasure', 8.08), ('happy', 8.3), ('happier', 8.45)]"
19,5.4434166666666695,"[('great', 7.88), ('free', 7.96), ('music', 8.02), ('pleasure', 8.08), ('happy', 8.3)]"
20,4.963271186440679,"[('death', 1.54), ('kill', 1.56), ('kills', 1.78), ('fatal', 1.8), ('poison', 1.94)]"
21,5.798216374269014,"[('christmas', 7.96), ('rich', 7.98), ('enjoyed', 8.02), ('laughing', 8.2), ('happy', 8.3)]"
22,5.3439344262295085,"[('successful', 8.16), ('joy', 8.16), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
23,5.252789317507425,"[('joy', 8.16), ('exceptional', 8.18), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
24,5.103703703703703,"[('peace', 7.86), ('paradise', 7.92), ('free', 7.96), ('healthy', 8.02), ('smile', 8.1)]"
25,5.331500000000007,"[('won', 8.1), ('win', 8.12), ('laughing', 8.2), ('happy', 8.3), ('happiness', 8.44)]"
26,5.693662691652471,"[('laughs', 8.18), ('laughed', 8.26), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
27,5.789655172413792,"[('great', 7.88), ('delicious', 7.92), ('smiled', 8.08), ('joy', 8.16), ('happiness', 8.44)]"
28,5.440441767068269,"[('laugh', 8.22), ('laughed', 8.26), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
29,4.999600798403203,"[('cancer', 1.54), ('died', 1.56), ('terror', 1.76), ('failed', 1.84), ('violence', 1.86)]"
30,5.257361376673038,"[('win', 8.12), ('laugh', 8.22), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
31,5.3080991735537175,"[('free', 7.96), ('rich', 7.98), ('smiled', 8.08), ('happy', 8.3), ('love', 8.42)]"
32,4.91565384615385,"[('killed', 1.56), ('evil', 1.9), ('dead', 2.0), ('failure', 2.06), ('rejects', 2.08)]"
33,4.721845018450186,"[('death', 1.54), ('killed', 1.56), ('arrested', 1.64), ('failed', 1.84), ('poison', 1.94)]"
34,5.142620481927705,"[('healthy', 8.02), ('smiled', 8.08), ('won', 8.1), ('love', 8.42), ('happiness', 8.44)]"
35,4.985063291139242,"[('rape', 1.44), ('kill', 1.56), ('die', 1.74), ('jail', 1.76), ('war', 1.8)]"
36,5.28307692307692,"[('laughed', 8.26), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44), ('laughter', 8.5)]"
