chapterno,score,words
1,4.905503875968993,"[('evil', 1.9), ('funeral', 2.1), ('horrible', 2.24), ('sadly', 2.28), ('poor', 2.32)]"
2,5.836878306878305,"[('loved', 7.96), ('laugh', 8.22), ('laughed', 8.26), ('love', 8.42), ('laughter', 8.5)]"
3,4.741496062992129,"[('murderers', 1.48), ('killed', 1.56), ('killing', 1.7), ('die', 1.74), ('war', 1.8)]"
4,4.434623955431761,"[('murder', 1.48), ('kill', 1.56), ('terror', 1.76), ('kills', 1.78), ('cry', 1.84)]"
5,4.825196304849889,"[('death', 1.54), ('kill', 1.56), ('killed', 1.56), ('war', 1.8), ('cruel', 1.84)]"
6,5.49324803149607,"[('fun', 7.96), ('loves', 7.96), ('excellent', 8.18), ('laughing', 8.2), ('laughed', 8.26)]"
7,4.8326844583987425,"[('died', 1.56), ('killed', 1.56), ('killing', 1.7), ('cry', 1.84), ('evil', 1.9)]"
8,4.964100294985257,"[('died', 1.56), ('killing', 1.7), ('die', 1.74), ('failed', 1.84), ('dead', 2.0)]"
9,5.353185840707967,"[('friends', 7.92), ('rich', 7.98), ('music', 8.02), ('laughing', 8.2), ('laughed', 8.26)]"
10,4.913223684210526,"[('died', 1.56), ('unhappy', 2.12), ('cried', 2.2), ('horrible', 2.24), ('poor', 2.32)]"
11,5.2082289416846645,"[('excellent', 8.18), ('laughing', 8.2), ('laugh', 8.22), ('laughed', 8.26), ('happy', 8.3)]"
12,4.688051282051283,"[('die', 1.74), ('failed', 1.84), ('cried', 2.2), ('fear', 2.32), ('threat', 2.36)]"
13,4.903605769230768,"[('death', 1.54), ('war', 1.8), ('failed', 1.84), ('sickness', 1.84), ('sick', 2.02)]"
14,5.217553191489364,"[('friendship', 7.96), ('rich', 7.98), ('music', 8.02), ('smiled', 8.08), ('joy', 8.16)]"
15,5.327474747474748,"[('sky', 7.76), ('great', 7.88), ('friends', 7.92), ('beautiful', 7.92), ('friendship', 7.96)]"
16,4.615305164319248,"[('death', 1.54), ('war', 1.8), ('cry', 1.84), ('dead', 2.0), ('dying', 2.1)]"
