sixties,6.04,1960s
seventies,6.06,1970s
eighties,6.4,1980s
absorb,5.66,absorbed
abstraction,5.53,abstract
maltreatment,1.88,abuse
mistreat,1.83,abused
academician,5.96,academic
credence,6.86,acceptance
entree,5.88,access
harmonize,5.1,according
accretion,5.7,accumulation
accusation,3.16,accusations
habituate,5.6,accustomed
accomplishment,7.58,achievement
adapt,6.0,adapted
addendum,4.82,addenda
adieu,4.34,adios
adjust,5.14,adjusted
administer,5.45,administered
rede,5.34,advised
ripening,3.06,aging
agribusiness,6.5,agriculture
pluto,5.92,aides
foreigner,4.72,alien
allegation,3.84,allegations
allege,4.0,alleged
ally,5.88,allied
godhead,6.24,almighty
alumnus,6.04,alumni
amaze,7.22,amazed
amaze,7.66,amazing
annoyance,2.82,annoying
ante,4.94,antes
antony,5.34,anthony
old-timer,6.7,antiques
entreaty,5.62,appeal
entreaty,5.58,appeals
appoint,5.7,appointed
originate,6.2,arise
originate,6.14,arises
originate,5.82,arising
originate,6.38,arose
arrange,5.6,arranged
apprehension,2.42,arrest
apprehension,2.72,arrests
ash,4.47,ashes
assemble,6.31,assembled
buttocks,5.0,assess
appraisal,5.28,assessment
delegate,5.44,assigned
premise,5.29,assumption
premise,4.82,assumptions
athlete,6.24,athletes
atom,5.5,atoms
attach,5.58,attached
impute,5.9,attributed
authorize,5.96,authorized
embodiment,6.0,avatar
atrocious,2.92,awful
footing,5.38,basis
beggary,3.62,begging
buttocks,4.42,behind
abdomen,4.78,belly
benzoin,5.68,benjamin
deplore,2.22,bewail
deplore,2.22,bewailed
deplore,2.22,bewailing
truncheon,4.98,billy
incrimination,2.82,blame
barricade,3.64,blocked
blond,6.18,blonde
blooming,7.24,bloom
bonny,5.3,bonnie
dumbbell,5.92,boobs
bookshop,6.88,bookstores
drilling,2.9,boring
interruption,5.04,break
dislocation,2.94,breakdown
breakage,3.98,breaking
interruption,4.42,breaks
groom,6.68,bridegroom
interrupt,2.54,broke
interrupt,3.02,broken
barbarous,2.6,brutal
physique,6.22,build
calculate,5.42,calculated
caliph,5.32,calif
calorie,4.22,calories
palestine,5.08,canaan
cancel,3.24,canceled
cancel,2.88,cancelled
campaigner,5.34,candidate
campaigner,5.18,candidates
lovingness,7.34,caring
sanchez,5.1,carlos
carve,5.38,carved
discontinue,4.0,ceased
irons,4.53,chains
qualify,5.56,characterized
darnel,2.44,cheat
thorax,5.54,chest
harass,5.35,chevy
cooling,4.76,chilling
cocoa,7.86,chocolate
chow,4.88,chuck
categorization,5.18,classification
cagey,7.06,clever
chink,5.72,click
ascent,5.68,climb
cupboard,5.18,closet
shutting,3.96,closing
apparel,6.46,clothes
seashore,6.44,coast
clash,4.04,collide
colt,5.34,colts
semen,5.58,comes
comedian,7.08,comic
committedness,6.32,commitment
perpetrate,6.38,committed
compel,4.45,compelled
ailment,2.86,complaint
ailment,3.04,complaints
complicate,3.34,complicated
complication,3.65,complications
compose,6.06,composed
grok,6.1,comprehend
gestate,6.29,conceived
condemn,3.0,condemned
condolence,3.4,condolences
assurance,7.22,confidence
restrict,3.44,confined
confirm,6.72,confirmed
confuse,2.98,confused
confuse,3.56,confusing
suppress,5.04,conquer
back-to-back,5.4,consecutive
constraint,4.42,constraints
